customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3433-LMKOG,Male,0,Yes,Yes,15,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,68.63,1030.4,No
7927-DYQTK,Female,0,Yes,No,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.7,409.11,Yes
6670-VKAOB,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.24,226.1,No
4665-TUPWS,Male,1,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,93.48,1806.45,Yes
3532-IIWEH,Female,0,No,No,45,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),87.95,3974.28,No
9528-MYSWL,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,66.34,115.79,No
5762-PDTKG,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,83.47,5588.33,No
5312-KRHPJ,Male,1,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),80.38,1374.91,No
8723-MAXQF,Male,1,No,No,2,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.25,106.37,Yes
6286-RPUJC,Male,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),85.53,4.95,No
7829-XSZRS,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.1,5818.4,No
7434-FDQPQ,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.06,278.9,No
3511-IOOCN,Male,0,Yes,No,45,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,93.91,4240.39,Yes
6245-DXUBF,Male,1,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),98.33,7076.09,No
9388-FPBJF,Female,1,Yes,Yes,34,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.63,2255.55,Yes
8619-UIDCM,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,73.49,5143.97,No
2215-JFNAJ,Male,0,Yes,Yes,0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.52,0.0,No
8412-WDWZP,Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),99.34,2793.92,No
5482-BOWPS,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),87.8,108.33,No
1317-SXBUN,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.77,2426.27,Yes
9029-MSVZC,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.44,549.55,Yes
5027-FAFNJ,Male,0,No,No,1,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),75.89,46.99,No
5358-RZMII,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,92.04,6103.65,No
7641-BZDNH,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),82.34,1877.96,No
5668-RULWJ,Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),58.72,390.31,No
7140-VURDJ,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,88.97,276.54,Yes
7102-BIKVX,Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),105.34,884.88,No
6117-EXGHU,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.89,3569.36,No
5596-HKBMZ,Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.6,529.86,Yes
7468-HZFQM,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,73.43,283.31,No
5984-LRAAW,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.85,1137.36,Yes
1627-LZKTX,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.55,4509.1,Yes
8120-FRFMG,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),88.35,5369.7,Yes
4402-WHPGA,Female,0,No,No,35,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),67.72,2345.82,No
4193-JORID,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.08,1945.23,Yes
3149-ZZOEW,Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.77,4104.99,No
9015-XJWLU,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,91.01,1285.8,Yes
7957-RFORU,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.51,1642.82,Yes
7086-YGTHO,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.84,4113.56,No
5650-DNVCP,Male,1,No,No,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),92.22,2289.2,No
1004-WSPQN,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,61.54,1073.94,Yes
6541-UMUDP,Male,1,No,No,7,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),60.3,399.99,No
6472-ZBZHR,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.5,458.51,No
7390-DGJRT,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.68,5626.44,No
9163-QTNIP,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.23,106.13,No
2045-WSQXS,Male,1,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.39,3635.11,Yes
5719-YBVFV,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,96.8,769.56,No
6422-AEPAF,Female,1,No,No,35,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,67.12,2331.09,Yes
8610-ERNBS,Female,0,No,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,68.64,4465.78,No
3005-YESEC,Male,1,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,70.72,1215.26,Yes
7573-BTAFS,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.38,1783.37,Yes
8837-ESMUP,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,96.3,1366.77,No
8080-IFKFZ,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.83,46.84,Yes
1491-NVBTY,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.36,182.59,No
4925-LNQRX,Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,95.98,2506.67,Yes
9556-YNAHR,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.34,179.79,No
9201-SVGUB,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.09,292.59,Yes
6640-IJATT,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,98.86,7016.02,Yes
3304-AXVZS,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,91.46,175.26,Yes
6820-EURTC,Male,0,No,Yes,65,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),53.99,3511.13,No
6990-VUGOX,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.13,197.08,Yes
6779-UVVBM,Male,0,Yes,No,39,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.68,2362.22,Yes
4410-SHXMO,Female,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),82.33,4723.48,Yes
1012-FSAWI,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.91,787.58,Yes
2055-EVGCE,Female,1,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.07,913.56,Yes
8917-XXYQC,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),82.55,248.9,No
4874-OGFRO,Female,0,Yes,No,55,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,45.38,2490.97,No
3364-JAVQG,Male,1,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.93,4743.71,No
3805-VWSRA,Female,1,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,66.31,4758.71,No
1071-OHOSF,Male,0,No,No,65,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,86.27,5623.15,No
4392-GAODM,Male,1,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.7,90.76,No
7556-TSACQ,Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,57.23,3422.08,No
9462-OJTLA,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.72,139.16,Yes
4083-HQQEH,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.04,648.37,No
4437-QJMZD,Male,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.87,575.74,No
8543-GNIPN,Female,0,No,Yes,33,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),69.68,2325.76,No
1311-BBCCP,Male,0,Yes,No,55,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,63.23,3454.63,No
5547-FUKRR,Male,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76.71,4210.24,No
5851-HOKHT,Male,1,Yes,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.54,6294.64,No
1985-IFILD,Male,0,No,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.39,511.35,Yes
9016-ZMSCF,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.33,590.98,No
6149-OELFV,Male,0,No,No,72,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,80.26,5775.5,No
6388-VSZZV,Female,0,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.39,3277.18,No
2345-KBFPH,Male,1,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.05,1690.75,Yes
3910-LQSHC,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.59,5389.23,Yes
3080-MRQFP,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),94.46,6627.14,No
2095-XSNQC,Male,1,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.77,6113.53,Yes
1159-ZKLKF,Female,1,No,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,92.12,567.77,No
1322-PCTJO,Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.03,446.73,No
5102-VJXHW,Male,0,No,No,45,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.48,3875.41,No
3173-UEPRH,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,92.42,3878.24,No
7912-ZIBVH,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.73,5667.22,No
2451-ZFGBZ,Female,0,No,No,65,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,62.92,4053.31,No
8061-PLMKG,Female,0,Yes,Yes,69,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),72.4,5025.36,No
8980-XZAEQ,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,66.66,146.36,No
9365-IUWRY,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.26,776.49,No
2784-MSBDJ,Male,1,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.73,2203.0,Yes
2686-ZMDAH,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),72.17,225.88,No
6726-SHQFK,Male,1,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,103.46,3412.82,Yes
7810-EKLLI,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.96,39.05,No
9346-NLWKK,Female,0,No,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,74.0,1848.85,Yes
4266-PKYBE,Male,1,No,No,18,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.85,1298.06,Yes
5619-NPKXD,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),96.36,462.51,No
5115-YICXD,Female,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),63.32,299.17,Yes
3880-FTYAP,Female,1,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,92.0,1658.69,No
1918-IYQIZ,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),82.64,324.16,No
5322-ISCLP,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.31,1024.02,No
7453-RGRJG,Male,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.57,656.67,No
4541-BKKJK,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.45,373.6,Yes
2431-IIJXP,Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.0,6491.23,No
2634-UIKVF,Female,0,No,Yes,6,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),77.19,443.38,No
6335-CKLFE,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,93.0,5407.56,Yes
1816-SQBXV,Male,0,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.67,6167.31,Yes
1099-PGLZL,Female,1,No,Yes,0,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,70.7,21.06,No
9365-LMZTX,Female,0,Yes,Yes,55,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,57.57,3180.36,No
3447-HQAHC,Male,0,No,No,61,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),52.64,3215.91,No
5042-JBORS,Male,1,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.29,422.14,Yes
1767-HKJHO,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,88.18,4404.79,Yes
6549-ILGKR,Male,0,Yes,No,16,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),76.51,1181.34,No
4558-GOKCQ,Female,0,No,No,6,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.31,461.54,No
5194-AFWFQ,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.86,2.4,No
6442-NGGER,Male,0,Yes,Yes,55,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,56.33,3086.39,No
4085-BZWAS,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.93,583.75,No
6766-QTCDT,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.02,961.27,Yes
8231-OITPI,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,95.65,864.89,Yes
9915-GECCD,Female,0,Yes,No,23,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.1,1848.35,Yes
1431-PMYAN,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,68.9,807.25,No
4194-SOOCS,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.56,1457.37,No
8190-TXKZB,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.97,496.99,No
9545-YSXMV,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,106.63,2805.98,Yes
1558-FVUOY,Male,0,No,No,8,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,69.44,573.83,Yes
5788-OSVSY,Male,1,Yes,Yes,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,102.95,5873.33,No
2591-LRXWP,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),86.16,1713.7,No
2912-YAICH,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),65.28,2224.98,No
4888-WZYON,Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,94.77,2287.65,No
2684-AAZEG,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),85.26,2554.65,No
8041-CYQUN,Male,0,No,No,3,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.42,214.23,No
1516-ZVOMF,Female,1,No,No,14,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),65.33,899.81,No
1849-LXDWC,Male,0,No,No,64,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),64.04,4083.09,No
2088-KAFMJ,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),96.88,5238.15,No
7151-SZDXS,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,94.88,1992.8,No
4545-GNKLP,Female,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,82.34,5232.15,No
7730-ESNYJ,Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.96,938.41,Yes
8255-NWWJZ,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,83.1,236.66,Yes
8972-QWMJZ,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.87,271.81,Yes
7561-MYTLR,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.47,3185.96,Yes
1298-VYSZJ,Female,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,97.64,5465.72,No
2428-DUQUK,Female,0,No,No,9,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),44.27,407.74,No
3820-IUGIK,Female,0,No,No,72,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.91,4094.24,Yes
6022-BEWYG,Female,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.85,890.5,No
6674-XHSCO,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.32,442.33,No
9122-KPLYJ,Male,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.04,1423.82,Yes
5464-CEBME,Female,0,Yes,Yes,15,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,58.86,921.29,No
4679-YXPAV,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),68.74,50.0,No
1135-TXMKB,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.7,481.51,No
2289-ORALH,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),87.61,2022.9,Yes
3489-PGEDN,Female,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.74,1832.76,Yes
2622-BQGGY,Female,0,No,No,9,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,61.49,540.59,No
5584-AHKQP,Female,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,294.43,No
4651-MMOLZ,Female,0,No,No,49,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),59.4,2901.6,No
